   0.86719,   0.39062,  -0.73438,   0.23438,   0.59375,  -0.75781
  -0.00781,   0.90625,   0.40625,  -0.86719,   0.96875,   0.81250
  -0.15625,   0.91406,  -0.81250,  -0.85156,   0.97656,  -0.20312
   0.03906,  -0.59375,   0.83594,   0.09375,   0.42188,  -0.57031
   0.94531,   0.62500,   0.64844,  -0.31250,   0.96094,  -0.46875
   0.76562,   0.89062,  -0.73438,   0.47656,   0.60156,  -0.71094
  -0.17188,   0.89844,   0.11719,  -0.01562,   0.39844,   0.35938
  -0.71094,   0.80469,   0.46094,   0.44531,   0.53906,   0.92969
  -0.78906,  -0.67969,  -0.37500,   0.26562,   0.07031,  -0.26562
  -0.97656,   0.75000,  -0.33594,   0.60938,  -0.21875,   0.39844
  -0.75000,  -0.92969,  -0.67969,   0.68750,   0.92969,  -0.00781
   0.57031,  -0.40625,   0.34375,  -0.71094,   0.96875,  -0.91406
  -0.67969,  -0.31250,   0.28906,  -0.19531,  -0.71875,   0.53906
  -0.03125,   0.34375,   0.87500,  -0.10156,  -0.64844,   0.59375
  -0.56250,  -0.01562,  -0.85156,   0.10156,  -0.04688,  -0.64062
  -0.58594,   0.97656,   0.39844,  -0.85156,  -0.73438,   0.53906
  -0.97656,  -0.10938,  -0.44531,  -0.73438,  -0.04688,  -0.67188
   0.53125,  -0.43750,   0.46094,   0.43750,  -0.86719,   0.07031
   0.67969,   0.93750,  -0.38281,  -0.40625,   0.35156,   0.17969
   0.49219,   0.82812,  -0.89844,   0.27344,   0.35156,   0.53906
   0.55469,   0.10156,   0.07031,  -0.42188,   0.39844,  -0.02344
  -0.25000,  -0.89062,  -0.03906,  -0.47656,  -0.78906,   0.14062
  -0.12500,   0.02344,  -0.60938,   0.69531,   0.10156,   0.98438
  -0.21875,  -0.28906,   0.89062,   0.48438,   0.17188,  -0.46094
  -0.77344,  -0.34375,   0.29688,   0.44531,   0.18750,   0.15625
