  -0.32812,   0.50781,  -0.94531,   0.78906,   0.70312,  -0.29688,  -0.01562,   0.06250,  -0.60938,  -0.00781
  -0.61719,   0.66406,   0.46094,  -0.09375,   0.88281,  -0.88281,  -0.13281,   0.85938,  -0.99219,   0.47656
   0.02344,  -0.28906,   0.78906,  -0.55469,   0.34375,   0.78906,   0.41406,  -0.42188,  -0.32812,   0.28906
  -0.17969,   0.97656,   0.61719,   0.32031,  -0.60156,  -0.28906,  -0.71094,  -0.63281,  -0.19531,  -0.55469
   0.38281,   0.75781,   0.80469,  -0.73438,  -0.49219,  -0.76562,  -0.71875,  -0.74219,   0.08594,   0.08594
  -0.47656,   0.21094,  -0.01562,  -0.76562,   0.77344,  -0.28906,   0.30469,  -0.42969,   0.17188,   0.93750
  -0.14062,  -0.63281,  -0.73438,  -0.34375,   0.43750,  -0.23438,  -0.93750,  -0.15625,   0.22656,   0.17188
  -0.45312,   0.92188,  -0.33594,   0.76562,   0.84375,   0.67188,  -0.34375,   0.72656,   0.19531,  -0.56250
  -0.52344,   0.82031,   0.08594,   0.48438,   0.61719,  -0.58594,  -0.11719,   0.21875,  -0.03906,  -0.07812
  -0.82812,   0.55469,   0.13281,  -0.10938,   0.37500,  -0.95312,  -0.20312,   0.90625,   0.82031,  -0.97656
   0.64062,   0.71094,  -0.67188,   0.57812,   0.16406,  -0.14844,  -0.28125,  -0.20312,   0.42969,  -0.35938
  -0.78125,  -0.04688,   0.87500,   0.60938,  -0.87500,  -0.07812,   0.11719,  -0.12500,  -0.85938,   0.79688
   0.54688,  -0.48438,   0.32812,   0.92969,  -0.61719,   0.18750,  -0.84375,  -0.94531,  -0.81250,   0.59375
   0.17188,  -0.60156,  -0.40625,   0.24219,  -0.33594,  -0.88281,   0.22656,  -0.73438,   0.21875,  -0.50781
   0.76562,  -0.85156,   0.69531,  -0.94531,  -0.82812,   0.76562,  -0.13281,  -0.47656,   0.95312,   0.89844
  -0.34375,   0.40625,   0.76562,  -0.91406,  -0.32812,  -0.47656,   0.61719,   0.69531,  -0.85938,   0.93750
   0.70312,   0.60156,  -0.85156,   0.02344,  -0.29688,  -0.26562,   0.93750,  -0.19531,  -0.44531,  -0.40625
   0.96094,   0.53125,  -0.37500,  -0.25000,  -0.85938,   0.07812,   0.69531,   0.78906,  -0.95312,  -0.41406
